Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1992","1992","3050","FAO TIER 1","kt","0.1781","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1992","1992","3050","FAO TIER 1","kt","0.9695","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1992","1992","3050","FAO TIER 1","kt","256.9215","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1992","1992","3050","FAO TIER 1","kt","256.9215","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1993","1993","3050","FAO TIER 1","kt","0.7869","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1993","1993","3050","FAO TIER 1","kt","0.177","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7230","Emissions (N2O)","5064","Crop Residues","1993","1993","3050","FAO TIER 1","kt","0.9639","E","Estimated value",""
"GT","Emissions totals","170","Colombia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1993","1993","3050","FAO TIER 1","kt","255.4324","E","Estimated value",""
"GT","Emissions totals","170","Colombia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1993","1993","3050","FAO TIER 1","kt","255.4324","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7234","Direct emissions (N2O)","5064","Crop Residues","1994","1994","3050","FAO TIER 1","kt","0.8127","E","Estimated value",""
"GT","Emissions totals","170","Colombia","7236","Indirect emissions (N2O)","5064","Crop Residues","1994","1994","3050","FAO TIER 1","kt","0.1829","E","Estimated value",""
